date,EUR/USD,EUR/GBP,EUR/JPY,EUR/AUD,EUR/NZD,GBP/USD,USD/JPY,AUD/NZD,AUD/JPY,NZD/JPY,AUD/USD,NZD/USD,GBP/JPY
1999-04-28,1.0666,0.6583,127.05,1.6324,1.9368,1.6202339358954885,119.11681980123758,1.1864739034550356,77.83018867924528,65.59789343246592,0.6533937760352855,0.5507021891780256,192.9971137779128
1999-04-29,1.0604,0.6584,126.16,1.6123,1.9063,1.6105710814094776,118.97397208600528,1.1823481982261366,78.24846492588227,66.18055919844724,0.6576939775476028,0.5562608193883439,191.61603888213853
1999-04-30,1.0597,0.6571,126.9,1.6078,1.8962,1.6126921320955716,119.75087288855336,1.1793755442219183,78.92772732926981,66.92332032486024,0.6590993904714517,0.5588545512076786,193.1212905189469
1999-05-03,1.0589,0.6571,126.93,1.5987,1.8916,1.61147466139096,119.86967607894987,1.1832113592293738,79.39575905423156,67.10192429689153,0.6623506599111778,0.5597906534150984,193.1669456703698
1999-05-04,1.0564,0.6553,128.04,1.5996,1.8933,1.6120860674500228,121.20408936009086,1.183608402100525,80.0450112528132,67.62795119632388,0.660415103775944,0.5579675698515819,195.39142377537004
1999-05-05,1.0667,0.6552,128.78,1.6194,1.9171,1.628052503052503,120.72747726633543,1.1838335185871312,79.52328022724465,67.17437796672057,0.658700753365444,0.5564133326378384,196.55067155067155
1999-05-06,1.0799,0.6601,130.6,1.6107,1.9144,1.6359642478412362,120.93712380775996,1.1885515614329174,81.08275904886074,68.21980777267028,0.6704538399453654,0.5640931884663603,197.84881078624448
1999-05-07,1.0786,0.661,130.13,1.6122,1.9233,1.631770045385779,120.64713517522715,1.19296613323409,80.71579208534921,67.65975146882961,0.6690236943307282,0.5608069463942182,196.8683812405446
1999-05-10,1.0735,0.6604,129.82,1.6012,1.9183,1.6255299818291944,120.93153237074989,1.198038970771921,81.07669248063952,67.67450346661106,0.6704346739945041,0.5596100714174008,196.5778316172017
1999-05-11,1.0732,0.6619,129.97,1.597,1.9125,1.6213929596615801,121.1051062243757,1.1975579211020664,81.38384470882906,67.95816993464052,0.6720100187852223,0.5611503267973855,196.35896661127057
